@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.239,0.189,-0.022,5
-0.356,-0.349,-1.399,5
0.112,-0.05,0.028,5
-0.185,0.114,0.815,5
0.074,0.135,0.034,5
0.943,0.019,-1.005,5
-0.413,0.189,-1.337,5
-0.46,-0.138,0.015,5
-0.037,0.048,-0.028,5
0.281,0.627,-1.828,4
0.141,0.208,0.013,5
0.08,-0.005,-0.024,5
-0.078,0.648,0.09,6
-0.187,-0.441,0.043,5
-0.592,-0.567,0.079,5
-0.212,0.015,-0.075,5
-0.005,0.003,-0.015,5
-0.322,0.246,0.012,5
-0.193,0.123,-0.076,5
0.779,0.425,-0.395,5
-0.148,0.179,-0.05,5
0.195,0.003,0.013,5
0.304,-0.375,-0.824,4
0.192,0.21,-0.095,5
-0.024,0.298,-0.046,5
-0.848,-0.968,1.337,5
-0.025,0.053,0.023,5
0.659,0.649,-0.574,5
-0.073,0.182,-0.027,5
-0.451,-0.008,-0.008,5
0.056,-0.456,0.038,4
-0.233,0.352,0.023,5
0.149,0.135,-0.009,5
0.073,-0.177,0.022,4
0.097,-0.313,0.046,5
0.038,-0.04,0.007,5
0.367,0.074,-0.111,5
-0.347,0.203,0.065,5
0.59,0.675,-1.634,5
-0.12,0.072,0.05,5
0.36,0.618,-0.002,5
0.433,0.369,-0.022,4
-0.021,-0.068,0.133,5
-0.25,-0.412,0.041,5
-0.844,-0.142,-1.858,6
-0.791,-0.091,-1.348,5
0.614,0.033,0.058,5
0.16,-0.091,0.017,5
-0.022,0.039,0.007,5
0,-0.017,0.03,5
0.938,-0.599,2.04,5
-0.336,-0.054,0.025,5
0.318,-0.046,0.002,5
0.418,0.018,0.042,5
0.331,0.733,-0.535,5
0.35,0.464,0,5
0.844,-0.373,0.057,5
0.173,-0.05,0.053,4
0.208,0.181,0.026,5
0.014,-0.104,0.13,5
0.108,0.004,0.147,5
-0.056,0.475,-0.367,5
-0.151,-0.289,0.022,5
0.098,0.13,0.025,5
-0.15,0.201,-0.042,5
0.066,0.307,0.011,5
0.234,-0.857,1.22,5
0.145,0.086,-0.001,5
-0.291,-0.107,-0.032,5
-1.088,-1.576,1.158,5
0.214,0.614,-0.347,5
0.431,-0.138,-0.127,4
0.368,-0.965,0.18,5
-0.076,0.081,-0.028,5
0.091,0.02,0.117,5
-0.149,0.552,-0.583,5
-0.492,0.676,5.115,5
0.705,0.41,-0.359,5
-0.053,0.068,-0.039,5
0.026,-0.482,-0.279,5
0.043,-0.106,0.018,5
0.236,0.29,-2.347,4
0.204,-0.057,-0.021,5
0.021,0.094,-0.011,6
-0.032,0.435,-0.047,5
-0.772,-0.164,-0.291,5
-0.113,0.198,-0.012,6
0.295,-0.679,0.092,5
-0.295,-0.204,0.107,5
-0.197,0.182,-0.025,5
-0.038,-0.033,0.023,5
0.191,-0.04,0.206,5
-0.123,0.323,0.238,5
-0.05,0.427,0.104,5
0.718,-0.671,-0.002,5
0.715,0.455,-0.796,5
0.327,-0.076,0.009,5
-0.165,0.427,-0.014,5
-0.077,-0.199,0.038,5
0.95,0.394,-0.411,5
-0.289,-0.08,-0.057,5
0.561,0.244,-0.015,5
0.129,-0.039,0.034,5
0.232,0.215,-0.033,5
0.235,0.184,-0.003,5
0.136,0.01,0.034,5
0.058,0.238,0.075,6
-0.061,0.13,-0.026,5
0.304,0.297,0.018,5
-0.131,-0.067,0.039,5
0.449,0.185,0.002,5
-0.186,0.286,-0.039,5
-0.039,-0.034,0.037,5
-0.759,0.109,-1.196,5
-0.283,0.265,0.025,5
-0.938,-0.422,0.25,5
