@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
-0.041,-0.021,0.031,5
-0.541,0.232,0.025,5
-0.875,-1.186,1.323,5
-0.079,-0.329,-0.215,5
0.018,-0.049,-0.044,5
-0.045,-0.086,-0.038,5
0.333,-0.385,-0.006,5
0.308,0.175,-0.354,5
0.109,0.007,0.003,5
-0.176,0.096,-0.016,5
0.141,-0.022,-0.024,6
-0.272,0.335,-0.006,5
0.23,0.181,-0.01,5
-0.015,0.252,0.017,5
0.043,0.095,0.054,5
-0.073,0.041,0.002,5
-0.242,-1.091,2.097,5
0.241,0.044,-0.016,5
0.128,-0.044,0.432,4
0.232,0.027,-0.069,5
-0.116,0.267,0.081,5
-0.132,0.175,-0.018,5
0.791,-0.232,0.037,5
-0.566,-0.851,-0.104,5
-0.13,0.487,-0.121,5
0.658,0.103,0.008,5
0.095,-0.047,0.008,5
-0.491,-0.654,-0.814,5
0.155,0.212,-0.037,5
-0.442,0.161,-0.057,5
0.714,0.312,-0.264,5
0.201,-0.223,0.015,5
0.536,0.164,-0.132,5
-0.633,0.172,-0.076,5
-1.403,-0.166,1.037,5
-0.282,-0.218,0.005,6
0.444,0.361,0.248,5
-1.57,-1.069,-1.007,5
-0.209,0.316,0.012,5
0.861,0.78,0.256,5
-0.148,0.428,-0.067,5
-0.136,0.251,-0.038,5
-0.008,0.337,0.046,5
-0.075,0.367,-0.235,5
0.212,0.053,-0.021,5
0.038,0.011,0,5
0.629,-0.7,0.617,5
-0.016,0.435,0.865,6
-0.174,-0.444,0.774,5
0.176,-0.155,0.175,5
0.186,0.068,0.196,4
-0.057,-0.048,-0.038,5
0.233,0.024,-0.021,5
-0.095,-0.167,-0.059,5
-0.541,0.238,-0.04,5
-0.286,0.094,-0.012,5
-0.245,0.244,-0.018,5
-0.149,0.36,-0.397,4
0.333,0.027,0.055,5
-0.751,-1.109,2.048,4
0.071,-0.005,0.028,5
-0.456,-0.19,0.192,5
-0.304,0.342,-1.096,5
0.468,-0.304,1.128,5
0.592,-0.667,0.491,5
0.228,0.083,0.01,6
-0.038,0.031,0.046,5
0.767,-0.408,0.016,5
1.188,-0.39,0.71,4
-0.835,-0.8,-0.571,5
0.128,0.65,-0.007,5
-0.24,0.048,-0.091,4
-0.062,-0.382,-0.07,4
0.05,-0.177,-0.46,5
-0.296,0.252,-0.073,5
0.029,0.048,0.019,5
0.449,0.176,-0.092,5
-0.89,-0.948,0.79,5
0.081,-0.093,0.146,5
-0.499,0.127,-0.063,5
-0.154,0.029,-0.047,5
0.301,-0.058,-0.019,6
0.167,0.148,0.046,6
-0.145,0.559,-0.443,5
-0.006,0.071,-0.027,5
-0.078,0.018,0.004,5
-0.482,0.003,0.057,5
0.558,0.239,-1.304,5
-0.314,-0.015,-0.215,5
-0.092,0.797,-0.026,5
0.359,-0.33,-0.285,5
-0.47,0.296,-0.681,5
0.127,-0.599,0.779,5
-0.245,0.517,-0.008,5
0.349,0.405,0.011,5
0.305,-0.011,0.754,5
-0.456,0.031,-0.806,5
0.254,0.029,0.023,5
0.46,-0.304,-0.098,5
-0.821,-0.274,-1.007,5
-0.094,-0.174,0.019,5
0.029,0.253,0.475,5
-0.094,-0.591,-0.309,5
-0.372,0.562,3.77,5
-0.186,0.208,0.014,5
-0.144,-0.24,0.031,5
-0.321,0.113,-0.062,5
0.178,-0.101,0.029,5
-0.413,-0.585,0.109,6
-0.441,-0.099,-0.143,4
-0.135,0.181,-0.024,5
-0.024,0.037,-0.021,5
0.946,-0.947,2.025,5
-0.269,0.383,0.078,5
0.092,-0.979,1.689,6
-0.087,-0.075,0.019,5
-0.339,0.424,-0.432,5
-0.357,0.125,-0.034,5
0.013,-0.185,-0.018,5
0.478,0.025,0.002,6
0.318,0.213,-0.019,5
-0.357,-0.997,0.754,5
0.309,0.15,-1.793,5
0.724,0.048,-0.095,5
0.627,0.186,0.151,5
-0.211,-0.189,0.007,5
0.744,0.571,0.027,5
-0.052,-0.129,0.095,6
-0.213,-0.046,0.05,5
0.142,-0.142,-0.052,5
-0.471,-0.846,1.02,5
-0.197,-0.194,0.057,5
-0.188,0.41,0.025,5
-0.035,0.291,0.001,5
-0.054,0.115,0.151,6
-0.054,0.197,-0.018,5
0.168,0.339,-0.413,5
0.147,0.057,-0.144,5
0.931,-0.783,1.031,5
-0.165,-0.202,-0.015,6
-0.091,-0.256,0.001,5
0.215,0.143,0.004,5
0.101,0.299,0.023,5
-0.056,-0.227,0.032,5
-0.27,-0.36,-0.029,5
0.154,0.017,0.054,5
0.125,-0.008,-0.022,5
0.185,0.445,-0.144,6
-0.425,0.231,-1.237,5
0.051,0.149,0.002,5
-0.034,-0.077,-0.016,5
0.128,0.359,0.005,5
-0.086,0.032,-0.005,5
0.03,0.045,0.051,4
0.232,0.039,0.042,5
0.329,-0.062,0.039,5
0.027,0.251,-0.028,5
0.193,0.235,0.01,5
0.261,0.495,-1.612,5
-0.629,0.052,-0.041,6
0.046,0.077,-0.005,5
-0.05,-0.067,0.157,5
0.324,0.407,-0.033,5
-0.067,0.099,-0.007,5
-0.217,-0.271,-1.271,5
-0.123,-0.051,0.058,4
-0.182,0.004,-0.057,5
-0.287,-0.172,-0.046,5
0.138,-0.03,0.028,6
-0.341,-0.118,0.047,5
-0.028,0.245,-0.027,5
0.165,-1.02,2.849,6
-0.224,0.196,0.052,5
-0.095,-0.22,-0.06,5
0.369,0.647,0,5
-0.103,0.012,0.012,5
0.126,-0.53,2.195,5
-0.099,-0.297,-0.06,5
-0.212,-0.025,0.011,5
0.377,0.257,-0.001,5
0.048,0.106,0.007,5
0.939,-0.785,0.169,5
-0.301,-0.226,-0.177,4
0.362,0.027,-0.014,5
-0.112,-0.143,0.104,5
-0.001,0.03,0.075,6
-0.077,-0.098,-0.044,5
-0.293,0,-0.022,5
0.037,0.058,-0.01,5
0.783,0.066,1.27,5
-0.001,-0.082,0.001,4
-0.005,0.053,0.308,5
0.158,-0.29,0.678,5
-0.023,-0.075,0.186,5
0.052,-0.001,-0.03,5
-0.324,0.248,-1.817,4
0.658,0.369,-0.046,5
0.048,0.313,0.015,5
0.022,0.527,-0.009,5
0.211,-0.006,0.11,5
-0.025,0.217,0.013,5
0.013,0.553,0.003,5
0.09,-0.502,0.02,5
0.106,0.069,0.008,5
-0.035,0.365,0.049,5
0.066,-0.038,0.091,5
0.624,-0.29,0.015,5
-0.125,0.119,0.144,5
0.34,0.085,0.01,5
-0.081,-0.041,-0.042,5
-0.023,-0.335,-0.016,5
-0.074,0.179,-0.035,5
-0.146,0.178,0.03,5
-0.331,-0.147,0.014,5
0.435,0.246,0.921,5
-0.549,0.517,-0.094,5
-0.119,-0.027,-0.017,5
0.409,0.221,0.204,5
0.148,0.478,-0.019,5
0.248,-0.734,0.067,5
-0.898,0.026,-0.629,4
-0.174,-0.484,-0.071,5
0.091,-0.023,0.142,5
0.551,0.304,-0.877,5
0.28,0.333,-0.758,5
0.024,0.069,0.05,5
-0.011,0.548,0.192,5
0.166,-0.063,0.067,5
0.123,0.332,-0.054,5
0.027,-0.006,-0.01,5
0.035,-0.222,-0.164,5
-0.137,-0.034,-0.004,5
0.295,0.66,-0.77,5
-0.111,-0.589,0.005,5
-0.04,0.165,-0.06,5
-0.069,0.193,0.025,5
-0.042,0.253,0.03,5
0.215,0.17,0.012,5
-0.012,0.033,0.006,6
0.308,0.046,0.028,5
-0.302,-0.28,-0.021,5
0.236,-0.283,-0.012,4
0.052,0.155,-0.041,6
0.34,0.667,-0.488,5
0.304,-0.033,-0.585,4
-0.003,0.124,-0.01,5
0.735,0.805,-1.689,5
0.098,0.001,-0.055,5
-0.213,0.004,0.064,5
0.018,0.107,-0.035,5
-0.325,0.631,-2.266,5
-0.23,-0.029,-0.001,5
0.048,0.152,-0.041,4
0.986,0.302,-0.052,5
0.028,0.324,-0.05,5
